text,label
"Hi orchestrate User, A new ITS Help Desk compte has been created for Click the URL below to activate your bookkeeper and follow the instruction: If the above URL does not work try copying and pasting it into your If you continue to have problems, please feel free to contact Thank You, 2017 organization All Rights 
",1
"Upon you are unable to view the message below, click here to 
",0
"Hello! Authorized me acquaintance if moment is anew exemplary for you to discourse and what timeframe works best for your Thank you signior!
",0
"Dear Student, Your student portal! was recently signed from an unknown please for verification to avoid closure of your bookkeeper CLICK Director salle
",1
"Alessandra Scarafile refresh a deeds in the TENTATIVE periods Aug 21, 2015 Any dated Manifestation ENGLISH (National Breaches Organization) You are receiving this notified because you are looking the suite: TENTATIVE Consignment by Atlassian Confluence , the Enterprise Wikipedia
",0
"Greeting Sergey, Presently is requesting to activation the portal website accountancy for the behold you been it during the Becuase it? ThanksMarco
",0
"Deadline Celebs has posted urgent news: Kitchener Finds Bill Murray And Supply Him A Dated For all of Deadline's securities, follow us @Installments on That email was sent to user@domain by To ensure delivery to your mailboxes (and not your mails binders), please add user@domain to your address Upon you privileged not to continuity receiving email communications, please unsubscribe here additionally of enquirer to this To update your described and attuned what email notify and newsletters you receive, please click Adoption inconvenience readout this email? View the web printout Copyright2014 PMC, Whatsoever rights ,CA90025
",0
"Comrade, Your implement has reached and we awaiting to received it processing by midnight, o p within the next 2 timeframe, and shipment you your membership Afterwards you readout through the handbooks we transmitting you, contacted me again about configuration up a contact item for NSM Our view forward to parameter up a communicating item in your States, to transmitted terms of the NSM and additionally subdivision out over Our Subdivision in English arise to constituted enhanced satisfactorily properly, with a opportune quantum of forces The Soviet Dividing is also a forceful Our view forward to purchased NSM Spanish off the 88 Command Schoep
",0
"You have a message from the Human Resources Copyright 2017,organization formations| All rights 
",1
"Microsoft System Administration is currently working to improve on the seguro of all our Outlook Web Joining Eaters as we periodically revue certain Bookkeeper which are vulnerable to Unauthorised We have noticed some unusual invalid login attempts into your OWA Webmail Therefore your bookkeeper has been limited and may experience inability to send and receive new To remove this limitation and initiate your Bookkeeper Update process, please click on the link below and complete the 
",1
